x,y,V
0,-5,5.0300000000000002
0.29999999999999999,5,5.0599999999999996
0,-3,5.0099999999999998
0.29999999999999999,3,5.0300000000000002
5,0,3.27
5.0999999999999996,-3.7999999999999998,3.2400000000000002
5.5,4.4000000000000004,3.2400000000000002
-5,0,6.9299999999999997
-5.5,-4.4000000000000004,6.9299999999999997
-5.0999999999999996,5.2000000000000002,6.8899999999999997
0,0,4.9000000000000004
0,1,4.8799999999999999
0,-1,4.8899999999999997
3,0,4.0800000000000001
2.8999999999999999,3,4.04
2.7000000000000002,-2.7999999999999998,4.0199999999999996
2.6000000000000001,-4.9000000000000004,4.04
3.2999999999999998,5.2000000000000002,4.04
2.5,0,4.5300000000000002
2,1.7,4.5199999999999996
2,-1.7,4.5099999999999998
-2.5,0,5.8899999999999997
-2.2999999999999998,2.1000000000000001,5.8600000000000003
-2.3999999999999999,-2.2999999999999998,5.8099999999999996
-3,0,6.1500000000000004
-3,-3,6.1500000000000004
-2.7000000000000002,3.2999999999999998,6.1799999999999997
-3.1000000000000001,-5,6.1500000000000004
-2.3999999999999999,5.0999999999999996,6.1299999999999999
