x,y,V
0,0,5
0,-10,5
0,-5,5
0,5,5
0,10,5
7.5,0,3.36
8,-1.4,3.36
9,-2.6,3.35
8,1.4,3.37
9,2.5,3.37
11.5,-2.5,3.33
11.4,2.7,3.36
5,0,4.18
5.7,-3.1,4.14
6.4,-4.8,4.15
5.7,2.9,4.14
6.4,3.7,4.12
7.7,-5.5,4.15
7.7,5.4,4.12
2.5,0,4.86
2.7,-2.9,4.83
3,-4.6,4.81
2.8,2.6,4.84
3,4.2,4.83
3.5,-6.3,4.82
3.5,4.9,4.84
-2.5,0,5.72
-2.6,1.9,5.7
-2.6,-2,5.71
-3,-4,5.73
-3,5.4,5.74
-5,0,6.4
-5.5,-3,6.43
-5.6,3,6.43
-7.5,0,7.29
-9,2.8,7.26
-9,-2.9,7.28

