x,y,V
0,0,5.20
0,5,5.22
0,-5,5.22
-5,0,7.29
-5.4,5,7.26
-5.5,-5,7.24
-6.3,-7.8,7.27
-6.3,8,7.23
5,0,3.39
6.2,-4.7,3.37
5.4,4.9,3.39
6.2,-7.4,3.4
6.4,7,3.34
